,text,type
0,us,0
1,a registered nurse,0
2,you,0
3,a current nmc registration,0
4,a good knowledge,1
5,the most uptodate clinical practices,0
6,our care homes,0
7,we,0
8,nurses,0
9,a passion,1
10,the quality,0
11,life experience,0
12,welldeveloped care plans,0
13,detailed risk assessments,0
14,an understanding,0
15,regulatory frameworks,0
16,80 resident rooms,0
17,ensuite rooms,0
18,choice,0
19,lounges,0
20,garden  patio,0
21,cafe,0
22,premises,0
23,onsite hairdressing qualifications,0
24,accreditations registered nurse qualification,1
25,a valid nmc pin,1
26,a team,0
27,the highest possible standards,0
28,care,0
29,assessment,0
30,residents,0
31,care plans,0
32,care plans,0
33,residents physical social and psychological needs,0
34,independence,0
35,personal choice,0
36,accurate documentation,0
37,resident records,0
38,all aspects,0
39,medicine management,0
40,your shift,0
41,accordance,0
42,company policies,0
43,current legislation,0
44,compliance,0
45,all legal regulatory and best practice guidelines,0
46,risks,0
47,support guide,0
48,others,0
49,line,0
50,the nmc code,0
51,its guidance,0
52,all times,0
53,the successful applicant,0
54,microsoft word outlook,0
55,accurately typed documents letters reports,0
56,email correspondence,0
57,any experience,0
58,spreadsheets,0
59,an advantage,0
60,an essential requirement knowledge,0
61,medical terminology,0
62,this role,0
63,this post,0
64,the rehabilitation,0
65,offenders,0
66,it,0
67,a submission,0
68,disclosure,0
69,the criminal records bureau,0
70,any previous criminal convictionsan exciting opportunity,0
71,an admin assistant,0
72,the integrated governance team,0
73,patient complaints incidents,0
74,subject access requests,0
75,the urgent care leicester division,0
76,our corporate office,0
77,the johnson building derby and fosse house leicester office,0
78,we,0
79,one vacancy,0
80,week,0
81,administration duties,0
82,filing scanning photocopying updating spreadsheets,0
83,emails,0
84,date,0
85,records,0
86,datix,0
87,electronic records,0
88,incidents,0
89,complaints,0
90,subject access,0
91,general office tasks,0
92,we,0
93,a fantastic brand new role,0
94,a senior peripatetic care assistant,0
95,our teams,0
96,our care homes,0
97,basingstoke,0
98,this role,0
99,an experienced care assistant,0
100,the homes,0
101,the teams,0
102,they,0
103,you,0
104,our bank team,0
105,you,0
106,shifts,0
107,you,0
108,you,0
109,days nights,0
110,a motivated and enthusiastic individual,1
111,a community dietitian,0
112,a high quality,0
113,evidence,0
114,based nutrition service,0
115,wigan,0
116,you,0
117,your career,0
118,dietetics,0
119,further experience,0
120,a band 5 dietitian,0
121,you,0
122,the support,0
123,a small friendly team,0
124,15 dietitians,0
125,administration staff,0
126,the post holder,0
127,specialist dietetic advice,0
128,opportunity,0
129,paediatric skills,0
130,the nutritional support clinical pathway,0
131,home enteral feeding,0
132,oral nutritional support,0
133,the ideal candidate,0
134,excellent clinical and communication skills,1
135,awareness,0
136,the challenges,0
137,the community,0
138,appropriate dietetic care plansunder guidance,0
139,the team leader,0
140,the post holder,0
141,the delivery,0
142,a comprehensive dietetic service,0
143,community clinics home visits,0
144,care settings,0
145,the post holder,0
146,supervision,0
147,mentorship,0
148,the specialist dietitians,0
149,your reflection,0
150,your clinical knowledge,0
151,the post holder,0
152,their clinical caseload,0
153,patients,0
154,complex needs,0
155,dietetic treatment,0
156,the post holder,0
157,improved service delivery,0
158,critical analysis,0
159,appraisal,0
160,current research,0
161,evidenced based practice,0
162,opportunity,0
163,audit and evaluation skills,1
164,validated data,0
165,the health outcomes,0
166,the service delivery,0
167,we,0
168,a 20 bedded community hospital,0
169,high quality care,0
170,an exciting opportunity,0
171,a committed experienced enthusiastic and highly motivated registered nurse,1
172,our unit,0
173,the ideal candidate,0
174,excellent communication skills,1
175,a willingness,0
176,we,0
177,a progressive forward thinking unit,0
178,the highest standard,0
179,individualised care,0
180,our patients,0
181,you,0
182,an interest,0
183,your clinical knowledge,1
184,skills,0
185,welcome service development,0
186,innovation,0
187,we,0
188,youbeing part,0
189,the clinical leadership,0
190,a sense,0
191,ownership,0
192,pride,0
193,your team,0
194,it,0
195,the challenges,0
196,successes,0
197,the role,0
198,the same time,0
199,you,0
200,all the support,0
201,you,0
202,the constant high standard,0
203,care,0
204,we,0
205,you,0
206,a member,0
207,the multidisciplinary team,0
208,patient assessment,0
209,patient need plan,0
210,their care,0
211,a view,0
212,the highest standard,0
213,clinical care,0
214,discharge planning,0
215,the needs,0
216,the patientgood level,0
217,it,0
218,skills,0
219,literacy experience,1
220,a similar role knowledge,1
221,accounting standards,0
222,housing associations experience,0
223,performance indicators,0
224,business activities,0
225,senior executives,0
226,qualified accountant,1
227,fullpart,0
228,qualified cfa,0
229,equivalentim,0
230,an experienced senior finance analyst,1
231,a large housing organisation,0
232,their investments,0
233,the post holder,0
234,the risk management oversight,0
235,the groups property development investments,0
236,you,0
237,the capital accounting finance business partners management,0
238,treasury financial planning governance land acquisition,0
239,construction teams,0
240,effective performance monitoring,0
241,the role,0
242,analysis,0
243,reports,0
244,senior management committees,0
245,boards,0
246,development capacity,0
247,financial performance,0
248,concise analysis,0
249,the review,0
250,financial appraisals,0
251,line,0
252,investment policy,0
253,support,0
254,internal customers,0
255,inorganic growth opportunities,0
256,internal customers,0
257,new business  investment opportunities development,0
258,maintenance,0
259,argus and proval appraisal models,0
260,adhoc excel appraisal models,0
261,the strategic decision making,0
262,the group,0
263,robust financial and risk analysis review,0
264,analysis,0
265,quarterly development performance assessments,0
266,identification,0
267,potential impairments,0
268,quarterly financial performance assessments,0
269,identification,0
270,potential impairments review,0
271,monitoring,0
272,development schemes,0
273,progress,0
274,any cost overruns,0
275,time,0
276,corrective actions,0
277,support,0
278,the process,0
279,senior management,0
280,boards,0
281,group capacity,0
282,viability,0
283,periodic risk management reviews,0
284,the development programme,0
285,any projects,0
286,risk,0
287,operationallyhcone,0
288,enthusiastic and committed care assistants,0
289,the flexible workforce team,0
290,you,0
291,some extra money,0
292,more experience,0
293,your family,0
294,other commitments,0
295,a fantastic opportunity,0
296,your local area,0
297,you,0
298,shifts,0
299,a regular basis,0
300,different care home settings,0
301,walton,0
302,thames,0
303,full control,0
304,your working week,0
305,the shifts,0
306,you,0
307,long or short term care,0
308,respite,0
309,palliative care,0
310,our focus,0
311,the kindest and highest quality care,0
312,all times,0
313,you,0
314,a carer,0
315,the guidance,0
316,a registered nurse,0
317,senior carer,0
318,you,0
319,responsibility,0
320,the physical and emotional wellbeing,0
321,social needs,0
322,our residents duties,0
323,helping residents,0
324,personal care activities,0
325,personal hygiene,0
326,dressing,0
327,meals,0
328,residents,0
329,limited mobility,0
330,responsibility,0
331,the wellbeing,0
332,residents,0
333,site,0
334,a carer,0
335,hcone,0
336,you,0
337,kindness,0
338,it,0
339,every aspect,0
340,our dementia nursing residential and specialist care homes,0
341,every single person,0
342,who,0
343,our residents,0
344,people,0
345,them,0
346,their own stories,0
347,us,0
348,you,0
349,a wonderful opportunity,0
350,something,0
351,those people,0
352,a driving license,0
353,access,0
354,a vehicle,0
355,a member,0
356,the team,0
357,you,0
358,access,0
359,personal and continued development,0
360,free qualifications,0
361,our skills,0
362,care centre,0
363,excellence,0
364,our award,0
365,people development,0
366,strong communicator,1
367,cost awareness,0
368,effectiveness  process development knowledge,0
369,analysing skills,1
370,teamwork skills,1
371,12 years experience,0
372,a similar role,0
373,a nebosh iosh or other health  safety qualification,0
374,the director,0
375,quality environment health,0
376,safety,0
377,the qehs administrator,0
378,the ongoing development,0
379,maintenance,0
380,the companys quality management systems,0
381,the business  collation,0
382,extraction,0
383,qehs data,0
384,analysis,0
385,a variety,0
386,systems  document,0
387,record control,0
388,accordance,0
389,legal gdpr,0
390,iso document management,0
391,legal qehs compliance,0
392,procedural and contractual requirements,0
393,eg,0
394,investigations,0
395,compilation,0
396,monthly and quarterly reports,0
397,communications,0
398,campaign material,0
399,circulation,0
400,approved qehs communications,0
401,sharepoint qehs site,0
402,maintenance,0
403,coshh info,0
404,nems,0
405,tracking,0
406,actions,0
407,actions,0
408,audits inspections accident investigations,0
409,general support,0
410,the qehs team,0
411,accidentsincidentsnear misses,0
412,close call events,0
413,qehs systems audit,0
414,plans,0
415,external audits  practical use,0
416,microsoft office applications word excel powerpoint and document management systems,1
417,general administration assistance flights accommodation bookings,1
418,minute taking,1
419,health and safety committee meetings,0
420,other meetings,0
421,external companies,0
422,audits,0
423,coordination,0
424,control,0
425,training,0
426,awareness,0
427,part,0
428,the qehs training programme,0
429,preparation,0
430,regular performance,0
431,statistical reports,0
432,audit,0
433,site visit,0
434,schedules previous experience,0
435,design manufacturing,0
436,interior design environment,0
437,previous work experience,1
438,conran harrods heals skandium scp,0
439,aram,0
440,desirable  bachelors,0
441,interior design,0
442,similar or proven significant experience,1
443,strong knowledge,0
444,autocad,1
445,sketchup,0
446,a passion,0
447,interior design furniture,1
448,architecture,0
449,exceptional communication,1
450,organisational skills,1
451,english,1
452,a native level,1
453,another language,1
454,russian,1
455,your cv,0
456,english,0
457,word format,0
458,jonathan,0
459,you,0
460,any other languagematters vacancy,0
461,no need,0
462,your cv,0
463,all vacancies,0
464,your language skills,0
465,work experience languagematters,0
466,a multidiscipline multilingual recruitment agency,0
467,a wide range,0
468,bilingual jobs,0
469,london,0
470,the southeast,0
471,our goal,0
472,the most valued knowledgeable and indispensable recruitment partner,0
473,the language recruitment field,0
474,we,0
475,equal opportunities,0
476,age gender ethnicity social background religion disability,0
477,sexuality,0
478,candidates,0
479,the uk,0
480,a valid work permit,1
481,we,0
482,successful candidates,0
483,34 working days,0
484,languagematters,0
485,an employment agency,0
486,relation,0
487,this vacancythis role,0
488,a passionate and organised individual,1
489,who,0
490,excellent client service skills,1
491,your role,0
492,you,0
493,the design proposals,0
494,furniture space planning selections,0
495,fabrics,0
496,accessories,0
497,you,0
498,highend clients,0
499,firstclass service,0
500,all kinds,0
501,enquiries,0
502,a design sales consultant,0
503,you,0
504,the design presentation visual merchandising,0
505,sales,0
506,you,0
507,strong communication skills,1
508,strong relationship,0
509,new and existing clients,0
510,the ideal candidate,0
511,design,0
512,outstanding customer service skills strong knowledge,1
513,autocad,1
514,andor sketchup,0
515,an excellent team playercareer progressionyou,1
516,your career,0
517,a wide variety,0
518,opportunities,0
519,your professional development,0
520,clinical services,0
521,over 2200 macmillan information pharmacists,0
522,store management,0
