skill_group,skill
Accounts Payable,"Accounts Payable, Invoicing, Journal Entries, Purchase Orders, Invoice Processing, Billing
Process, Expense Reports, Client Billing, Cash Collection, JD Edwards"
Active Learning,"E-Learning, Self Learning, Distance Learning, Learning Management Systems, Passionate
about work, Active Learning, Blended Learning, Moodle, Learning Management, Needs
Analysis"
Administrative Assistance,"Data Entry, Office Administration, Administration, Administrative Assistance, Phone Etiquette,
Typing, Receptionist Duties, Process Scheduler, Clerical Skills, Filing"
Advertising,"Advertising, Online Advertising, Digital Media, Email Marketing, Google Analytics, Brand
Development, Brand Management, Google Ads, Search Engine Marketing (SEM), Content
Marketing"
Aerospace Engineering,"CATIA, ANSYS, Commercial Aviation, Aeronautics, Avionics, Airworthiness, Aerospace
Engineering, Helicopters, Computer-Aided Engineering (CAE), Aerodynamics"
Affiliate Marketing,"Affiliate Marketing, Influencer Marketing, Relationship Marketing, HubSpot, Small Business
Marketing, Enterprise Marketing, Network Marketing, Marketing Communications Planning,
E-commerce Optimization, Consumer Marketing"
Agricultural Production,"Agribusiness, Animal Husbandry, Sustainable Agriculture, Animal Nutrition, Animal Care,
Farms, Organic Farming, Animal Handling, Irrigation, Crop Protection"
Agronomy,"Agronomy, Soil Sampling, Plant Breeding, Soil Science, Hydrologic Modeling, Plant Biology,
Soil Fertility, Seed Production, Plant Propagation, Aquaponics"
Air Force,"Aerospace, Intelligence Analysis, Intelligence, Air Force, Military Aviation, Flight Training,
Radar, UAV, Drone Piloting, Electronic Warfare"
Air Traffic Control,"Airport Management, Schedule Control, Air Traffic Control, International Flight Operations,
Airspace Management, ADS-B"
Aircraft Management,"Aircraft Maintenance, Aircraft Systems, B737, A320, Helicopter Operations, Aircraft
Management, Equipment Management, Fuel Management, Aircraft Leasing, Aviation
Electronics"
Airlines,"Airlines, Airports, Flight Safety, Civil Aviation, Piloting, Flight Planning, Aviation Security, Air
Charter, IATA, Scheduling Management"
Alcoholic Beverages,"Bartending, Alcoholic Beverages, Responsible Service of Alcohol, Wine Sales, Champagne,
Nightclub"
Analytical Reasoning,"Critical Thinking, Technical Analysis, Independent Thinking, Analitical, Numeracy, Analytical
Reasoning, Logical Approach, Reasoning Skills, Systems Thinking, Information Analysis"
Anesthesiology,"Anesthesiology, Mechanical Ventilation, Intubation, General Anesthesia, Regional Anesthesia,
Conscious Sedation, Sedation, U.S. Federal Communications Commission (FCC), Intraoperative
Monitoring"
Animation,"After Effects, Autodesk 3ds Max, 3D Modeling, Animation, Maya, Motion Graphics, 3D,
Rendering, V-Ray, Storyboarding"
Anthropology,"Archaeology, Anthropology, Cultural Anthropology, Cultural Studies, Archaeological Survey,
European Studies, Cultural Resource Management, Social Anthropology, Historical
Archaeology, Latin American Studies"
Apparel,"Fashion, Apparel, Styling, Fashion Design, Textiles, Sewing, Fashion Illustration, Fashion
Styling, Jewelry, Trend Forecasting"
Architecture,"AutoCAD, Computer-Aided Design (CAD), SketchUp, Revit, Architecture, Architectural Design,
Design Research, Sustainable Design, AutoCAD Architecture, Building Information Modeling
(BIM)"
Army,"Military Operations, U.S. Department of Defense, Defense, Military Training, Army, Force
Protection, Weapons Handling, Veterans, Counterterrorism, Tactics"
Art History,"Contemporary Art, Art History, Art Education, Museums, Curating, Cultural Heritage, Gallery
Administration, Historical Research, Museum Collections, Museum Education"
Artificial Intelligence,"Machine Learning, Artificial Intelligence (AI), Data Structures, Deep Learning, Image
Processing, Computer Vision, Natural Language Processing (NLP), TensorFlow, Pandas
(Software), OpenCV"
Arts & Crafts,"Crafts, Jewelry Design, Printmaking, Arts & Crafts, Embroidery, Floral Design, Watches, Yarn,
Fashion Jewelry, Crochet"
Auditing,"Auditing, Internal Controls, Internal Audit, International Financial Reporting Standards (IFRS),
Financial Audits, External Audit, Generally Accepted Accounting Principles (GAAP), Sarbanes-
Oxley Act, Assurance, Consolidation"
Automotive,"Automotive, Automotive Engineering, Automotive Aftermarket, Automotive Sales, Aftersales,
Dealer Management, Powertrain, Motors, Automotive Electronics, Automotive Parts"
Biomedical Engineering,"Medical Devices, Biomedical Engineering, Electronic Data Capture (EDC), Medical Technology,
Biomaterials, Biomedical Sciences, Medical Equipment, ISO 14971, Medical Device R&D,
Biomedical Devices"
Bookkeeping,"Accounts Receivable (AR), QuickBooks, Bookkeeping, General Ledger, Bank Reconciliation,
Accounts Payable & Receivable, Goods and Services Tax (GST), MYOB, Xero, Record Keeping"
Botany,"Botany, Plant Physiology, Habitat Restoration, Plant Ecology, Plant Genetics, Ethnobotany"
Business Management,"Management, Strategic Planning, Strategy, Change Management, Business Planning, Business
Process Improvement, Vendor Management, Business Process, Outsourcing, Small Business"
Capital Markets,"Risk Management, Portfolio Management, Financial Modeling, Due Diligence, Financial Risk,
Capital Markets, Valuation, Financial Markets, Equities, Trading"
Cardiology,"Cardiology, Vascular, Interventional Cardiology, Cardiovascular Disease, Echocardiography,
Catheters, Vascular Surgery, Hypertension, Cardiac Surgery, Heart Failure"
Carpentry,"Carpentry, Woodworking, Cabinetry, Wood, Roofers, Finish Carpentry, Millwork, Joinery,
Kitchen Cabinets, Tiling"
Chemical Processing,"Chemical Engineering, Coatings, Aspen HYSYS, Process Design, Laboratory Equipment,
Laboratory Safety, Laboratory Techniques, Fragrance, Paper Industry, Chemical Industry"
Childcare,"Working With Children, Childcare, Child Development, Early Childhood Development, Early
Intervention, Safeguarding Children, Babysitting, Early Childhood Literacy, Safeguarding,
Preschool"
Commercial Banking,"Financial Services, Credit, Retail Banking, Business Relationship Management, Loans, Credit
Analysis, Credit Risk, Commercial Banking, Mortgage Lending, Credit Cards"
Commercial Photography,"Digital Photography, Event Photography, Commercial Photography, Wedding Photography,
Fashion Photography, Studio Photography, Product Photography, Photo Retouching, Studio
Lighting, Food Photography"
Communication,"Public Speaking, Communication, Presentation Skills, Interpersonal Communication,
Presentations, Oral Communication, Client-focused, Professional Communication,
Professional Phone Skills, Presenter"
Communication Disorders,"Therapeutic Listening, Speech, Speech Therapy, Traumatic Brain Injury, Language Disorders,
Articulation, Dysphagia, Audiology, Assistive Technology, Hearing Aids"
Compensation &,
Benefits,"Employee Benefits Design, Benefits Administration, PeopleSoft, Compensation & Benefits,
Deferred Compensation, Compensation, Benchmarking, Human Capital Management,
Employee Recognition, Salary"
Competitive Strategies,"Thought Leadership, Market Intelligence, Competitive Intelligence, Strategic Initiatives, Pricing
Analysis, SWOT analysis, Positioning, Strategy Execution, Global Strategy, Strategic Roadmaps"
Composites,"Composites, Carbon, Aircraft Structures, Prestressed Concrete, Polymer Composites, Fibre,
Mould Design, Carbon Fiber, Fiberglass, Composite Applications"
Computer Graphics,"Computer Graphics, AutoCAD Mechanical, GIMP, Qt, Engineering Drawings, OpenGL, Digital
Image Processing, Visualization, 2D graphics, Scalable Vector Graphics (SVG)"
Computer Hardware,"Computer Hardware, Ansible, Microcontrollers, PLC Programming, Printed Circuit Board (PCB)
Design, VHDL, Verilog, Field-Programmable Gate Arrays (FPGA), Embedded C, Integrated
Circuits (IC)"
Computer,
Networking,"Networking, Windows Server, Network Administration, Servers, Voice over IP (VoIP), Cisco
Systems Products, Internet Protocol Suite (TCP/IP), Internet Protocol (IP), Virtual Private
Network (VPN), Computer Networking"
Conceptual Art,"Mixed Media, Artistry, Conceptual Art, Artistic Vision, Artistic Eye, Installation Design, Bodypaint, Art Consulting, Mosaics, Background Art"
Constitutional Law,"Constitutional Law, Medical Law, Election Law, Discrimination Law, Supreme Court, First Amendment, Voting Rights"
