text,type
valid,0
Previous,0
desirable,0
essential,0
committed,1
organised,1
Excellent,1
verbal,0
Flexible,1
minimum,0
important,0
certain,0
such,0
high,0
seasonal,0
high,0
overall,0
disabled,0
non,0
-,0
disabled,0
more,0
successful,0
high,0
smooth,0
efficient,1
committed,1
enthusiastic,1
innovative,1
other,0
dedicated,1
mixed,0
comprehensive,0
skilled,1
expert,1
clinical,0
other,0
confident,1
structured,0
excellent,0
clinical,0
organisational,0
routine,0
specialist,2
clinical,0
primary,0
clinical,0
primary,0
mobile,0
correct,0
professional,0
appropriate,0
professional,0
welcome,0
other,0
non,0
-,0
EEA,0
experienced,1
skilled,0
available,0
unlikely,0
resident,0
further,0
skilled,1
criminal,0
more,0
past,0
old,0
subject,0
subject,0
necessary,0
successful,0
older,0
excellent,0
able,1
motivated,1
flexible,1
passionate,1
prepared,1
post,0
-,0
commensurate,0
own,0
successful,0
able,1
Admiral,0
specialist,0
practical,0
clinical,0
emotional,0
complex,0
supportive,1
therapeutic,0
ongoing,0
exceptional,0
registered,0
mental,0
significant,0
direct,0
best,0
social,1
impressive,0
bio,0
-,0
psychosocial,0
integral,0
proactive,1
post,0
-,0
diagnostic,0
skilled,1
Secondment,0
current,0
clinical,0
specialist,2
monthly,0
clinical,0
professional,0
national,0
Further,0
main,0
exceptional,0
registered,0
mental,0
significant,0
executive,0
expert,0
clinical,0
professional,0
transformational,0
excellent,0
complex,0
clinical,0
monthly,0
clinical,0
professional,0
national,0
Further,0
main,0
30th,0
full,0
exceptional,0
specialist,0
specialist,0
difficult,0
challenging,0
practical,0
additional,0
primary,0
specialist,0
specific,0
clinical,0
specialist,0
monthly,0
clinical,0
professional,0
relevant,0
post,0
-,0
graduate,2
successful,0
post,0
-,0
registration,0
clinical,0
different,0
formal,0
clinical,0
post,0
-,0
graduate,0
new,0
first,0
expert,0
professional,0
ongoing,0
professional,0
ongoing,0
clinical,0
active,0
clinical,0
small,0
clinical,0
specialised,0
main,0
local,0
national,0
advanced,0
clinical,0
new,0
clinical,0
strategic,0
new,0
various,0
other,0
relevant,0
appropriate,0
relevant,0
local,0
national,0
relevant,0
clinical,0
exciting,0
additional,0
exceptional,0
great,0
primary,0
specialist,2
outstanding,1
dedicated,1
peripatetic,0
key,0
local,0
high,0
senior,0
real,0
practical,0
clinical,0
social,1
wider,0
exciting,0
registered,0
primary,0
clinical,0
best,0
iconic,0
one-,0
bedroomed,0
extra,0
residential,0
short,0
other,0
practical,0
clinical,0
specialist,0
monthly,0
clinical,0
relevant,0
post,0
-,0
graduate,2
successful,0
post,0
-,0
registration,0
clinical,0
different,0
formal,0
clinical,0
post,0
-,0
graduate,2
large,0
elderly,0
qualified,2
elderly,0
Current,0
elderly,0
managerial,0
senior,0
clinical,0
highest,0
good,0
ongoing,0
professional,1
flexible,1
personal,0
Full,0
curious,1
more,0
confidential,0
current,0
elderly,0
qualified,2
Reliable,0
Hard,0
next,0
Registered,0
Clinical,0
dynamic,1
fast,0
flexible,1
able,0
full,0
special,0
successful,0
permanent,0
real,0
fundamental,0
social,1
important,0
public,0
different,0
local,0
instrumental,0
future,0
flexible,1
largest,0
excellent,0
public,0
motivated,1
friendly,1
caring,1
ready,1
extensive,0
confident,1
highest,0
patient,0
continuous,0
professional,1
willing,0
subject,0
professional,1
applicable,0
effective,1
clinical,0
junior,0
highest,0
patient,0
clinical,0
key,0
professional,1
exciting,0
motivated,0
dynamic,1
inspirational,1
passionate,1
holistic,0
effective,0
safe,0
